ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme
اداب و اخلاقيات مهنة القضاء و مهنة المحاماة,livres,1111,HSN1,PIECES,1,Brand 1,11,,TVA,20,Inclusive,70,1,9789920,10,اداب و اخلاقيات مهنة القضاء و مهنة المحاماة,Percentage,30,,دار الأفاق المغربية,,,عبد الرحيم بن سلامة,,,,,2021,,,,,القضاء 
استبعاد وترجيح الرسوم المثبتة لملكية عق 1/2,livres,2222,HSN2,PIECES,1,Brand 1,11,,TVA,20,Inclusive,310,1,9789920508087,10,استبعاد وترجيح الرسوم المثبتة لملكية عق 1/2,Percentage,30,,دار الأفاق المغربية,,,المصطفى الزرقاني,,,,,2023,,,,,القانون العقاري 
"اشغال الندوة الدولية حول موضوع ""دور الصكوك في تمويل التنمية بالمغرب """,livres,3333,HSN3,PIECES,1,Brand 1,11,,TVA,20,Inclusive,100,1,342013,10,"اشغال الندوة الدولية حول موضوع ""دور الصكوك في تمويل التنمية بالمغرب """,Percentage,30,,دار الأفاق المغربية,,,مؤلف جماعي,,,,,2022,,,,,قانون المالية 
الاجتهاد القضائي الاسري المغربي,livres,4444,HSN4,PIECES,1,Brand 1,11,,TVA,20,Inclusive,150,1,9789920508032,10,الاجتهاد القضائي الاسري المغربي,Percentage,30,,دار الأفاق المغربية,,,ادريس الطالب,,,,,2023,,,,,مدونة الأسرة 
الاجراءات العملية للتنفيذ القضائي المدني,livres,5555,HSN5,PIECES,1,Brand 1,11,,TVA,20,Inclusive,60,1,9789920656450,10,الاجراءات العملية للتنفيذ القضائي المدني,Percentage,30,,مكتبة الرشاد,,,الغالي راجي,,,,,2021,,,,,القانون المدني 
الادعاء المباشر و الشكاية المباشرة في التشريع المغربي,livres,5555,HSN6,PIECES,1,Brand 1,11,,TVA,20,Inclusive,80,1,9789920765961,10,الادعاء المباشر و الشكاية المباشرة في التشريع المغربي,Percentage,30,,دار الأفاق المغربية,,,عبد الرحيم زكار,,,,,2023,,,,,القانون الجنائي 
الادلة العلمية و مشروعيتها في التحقيق الجنائي,livres,5555,HSN7,PIECES,1,Brand 1,11,,TVA,20,Inclusive,170,1,9789920508056,10,الادلة العلمية و مشروعيتها في التحقيق الجنائي,Percentage,30,,دار الأفاق المغربية,,,محمد اولاد الحاج,,,,,2023,,,,,القانون الجنائي 
الاطار المفاهيمي في العلاقة الزوجية بين التوابث و المتغيرات,livres,5555,HSN8,PIECES,1,Brand 1,11,,TVA,20,Inclusive,65,1,9789920988193,10,الاطار المفاهيمي في العلاقة الزوجية بين التوابث و المتغيرات,Percentage,30,,دار الأفاق المغربية,,,محمد ابجطيط,,,,,2022,,,,,مدونة الأسرة 
الاعتقال الاحتياطي بين اجراءات البحث التمهيدي و القضائي,livres,5555,HSN9,PIECES,1,Brand 1,11,,TVA,20,Inclusive,130,1,9789920765701,10,الاعتقال الاحتياطي بين اجراءات البحث التمهيدي و القضائي,Percentage,30,,دار الأفاق المغربية,,,سعيد بوطويل,,,,,2021,,,,,القانون الجنائي 
الانعاش العقاري : دراسة قانونية تاصيلية مقارنة,livres,5555,HSN10,PIECES,1,Brand 1,11,,TVA,20,Inclusive,100,1,9789920791595,10,الانعاش العقاري : دراسة قانونية تاصيلية مقارنة,Percentage,30,,مكتبة الرشاد,,,سارة عبد الصمد,,,,,2021,,,,,القانون العقاري 
