ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,image
التنظيم القضائي 2022,livres,,,PIECES,5,Brand 1,11,80,TVA,20,Inclusive,60,10,9789954321074,10,التنظيم القضائي 2022,Percentage,25,80,المؤلف,,,عبد الرحمان الشرقاوي,,,,,2022,,,,,القانون المدني ,uploads/items/18.jpg
التنظيم القضائي المغربي,livres,,,PIECES,5,Brand 1,11,120,TVA,20,Inclusive,84,10,9789920765923,10,التنظيم القضائي المغربي,Percentage,30,120,دار الأفاق المغربية,,,عبد القادر قرموش,,,,,2022,,,,,القانون المدني ,uploads/items/19.jpg
التنظيم القضائي ط 8,livres,,,PIECES,5,Brand 1,11,90,TVA,20,Inclusive,67.5,10,9789954321075,10,التنظيم القضائي ط 8,Percentage,25,90,المؤلف,,,عبد الرحمان الشرقاوي,,,,,2022,,,,,القانون المدني ,uploads/items/20.jpg
التوازن العقدي بين المكري و المكتري في القانون رقم 67.12,livres,,,PIECES,5,Brand 1,11,85,TVA,20,Inclusive,59.5,10,9789920765626,10,التوازن العقدي بين المكري و المكتري في القانون رقم 67.12,Percentage,30,85,دار الأفاق المغربية,,,محمد زرال,,,,,2021,,,,,القانون التجاري ,uploads/items/21.jpg
التوجهات الحديثة لمحكمة لنقض 1/2,livres,,,PIECES,5,Brand 1,11,180,TVA,20,Inclusive,135,10,9789954543955,10,التوجهات الحديثة لمحكمة لنقض 1/2,Percentage,25,180,مجلة القضاء المدني,,,زكرياء العماري,,,,,2023,,,,,القضاء ,uploads/items/22.jpg
الجماعات الترابية بالمغرب,livres,,,PIECES,5,Brand 1,11,120,TVA,20,Inclusive,84,10,9789920791670,10,الجماعات الترابية بالمغرب,Percentage,30,120,مكتبة الرشاد,,,سعيد جفري,,,,,2022,,,,,القانون العام,uploads/items/23.jpg
الحجوزات في قانون المسطرة المدنية المغربي,livres,,,PIECES,5,Brand 1,11,120,TVA,20,Inclusive,84,10,9789920988186,10,الحجوزات في قانون المسطرة المدنية المغربي,Percentage,30,120,دار الأفاق المغربية,,,محمد بلحاج الفحصي,,,,,2022,,,,,القانون المدني ,uploads/items/24.jpg
الحد من الجريمة و حماية حقوق الانسان,livres,,,PIECES,5,Brand 1,11,160,TVA,20,Inclusive,112,10,9789920765893,10,الحد من الجريمة و حماية حقوق الانسان,Percentage,30,160,دار الأفاق المغربية,,,سعيد بوتشكوكت,,,,,2022,,,,,القانون الجنائي ,uploads/items/25.jpg
الحلول الاجرائي في قانون المسطرة المدنية,livres,,,PIECES,5,Brand 1,11,85,TVA,20,Inclusive,59.5,10,9789920765978,10,الحلول الاجرائي في قانون المسطرة المدنية,Percentage,30,85,دار الأفاق المغربية,,,محمد الهبول,,,,,2022,,,,,القانون المدني ,uploads/items/1.jpg
الحماية الجنائية لتنفيذ الاحكام القضائية في الميدان المدني,livres,,,PIECES,5,Brand 1,11,75,TVA,20,Inclusive,52.5,10,9789920656740,10,الحماية الجنائية لتنفيذ الاحكام القضائية في الميدان المدني,Percentage,30,75,مكتبة الرشاد,,,بوشعيب الشرافي,,,,,2023,,,,,القانون الجنائي ,uploads/items/2.jpg
الحماية الجنائية للعمران بالمغرب في ضوء القانون الجنائي للتعمير,livres,,,PIECES,5,Brand 1,11,120,TVA,20,Inclusive,84,10,9789920329989,10,الحماية الجنائية للعمران بالمغرب في ضوء القانون الجنائي للتعمير,Percentage,30,120,مكتبة الرشاد,,,عمر مبروك,,,,,2021,,,,,القانون الجنائي ,uploads/items/3.jpg
الحماية القانونية للمستهلك في التشريع المغربي,livres,,,PIECES,5,Brand 1,11,110,TVA,20,Inclusive,77,10,9789920765602,10,الحماية القانونية للمستهلك في التشريع المغربي,Percentage,30,110,دار الأفاق المغربية,,,عبد اللطيف بوعلام,,,,,2021,,,,,قانون المستهلك,uploads/items/4.jpg
الحماية القانونية لمشتري العقار في طور الإنجاز,livres,,,PIECES,5,Brand 1,11,90,TVA,20,Inclusive,63,10,9789920946308,10,الحماية القانونية لمشتري العقار في طور الإنجاز,Percentage,30,90,دار الافاق المغربية,,,ألياس العابوسي,,,,,2021,,,,,القانون العقاري ,uploads/items/5.jpg
الدليل العملي لاجراءات التقاضي امام المحاكم ط 2,livres,,,PIECES,5,Brand 1,11,100,TVA,20,Inclusive,70,10,9789920791434,10,الدليل العملي لاجراءات التقاضي امام المحاكم ط 2,Percentage,30,100,مكتبة الرشاد,,,الشرقي الحراث,,,,,2021,,,,,القضاء ,uploads/items/6.jpg
الدليل القانوني و القضائي للعمل البنكي بالمغرب,livres,,,PIECES,5,Brand 1,11,140,TVA,20,Inclusive,98,10,9789920765916,10,الدليل القانوني و القضائي للعمل البنكي بالمغرب,Percentage,30,140,دار الأفاق المغربية,,,عبد الرحيم المؤذن,,,,,2022,,,,,القانون البنكي,uploads/items/7.jpg
الذكاء الصناعي,livres,,,PIECES,5,Brand 1,11,80,TVA,20,Inclusive,56,10,9789920508100,10,الذكاء الصناعي,Percentage,30,80,دار الأفاق المغربية,,,حسن السوسي,,,,,2023,,,,,القانون التجاري ,uploads/items/8.jpg
الرجل البرئ The Innocent Man,livres,,,PIECES,5,Brand 1,11,100,TVA,20,Inclusive,70,10,9789920645270,10,الرجل البرئ The Innocent Man,Percentage,30,100,دار الأفاق المغربية,,,مصطفى عثمان,,,,,2021,,,,,رواية ,uploads/items/9.jpg
الزمن في قانون الاستهلاك,livres,,,PIECES,5,Brand 1,11,55,TVA,20,Inclusive,38.5,10,9789920765657,10,الزمن في قانون الاستهلاك,Percentage,30,55,دار الأفاق المغربية,,,سكينة نصور,,,,,2021,,,,,قانون المستهلك,uploads/items/10.jpg
السياسة الجنائية في المجال المعلوماتي في التشريع المغربي,livres,,,PIECES,5,Brand 1,11,80,TVA,20,Inclusive,56,10,9789920656573,10,السياسة الجنائية في المجال المعلوماتي في التشريع المغربي,Percentage,30,80,مكتبة الرشاد,,,عبد الجليل مهرار,,,,,2022,,,,,القانون الجنائي ,uploads/items/11.jpg
السياسة الجنائية في مواجهة جرائم الفساد,livres,,,PIECES,5,Brand 1,11,135,TVA,20,Inclusive,94.5,10,9789954543795,10,السياسة الجنائية في مواجهة جرائم الفساد,Percentage,30,135,دار الأفاق المغربية,,,كوثر بوعسرية,,,,,2021,,,,,القانون الجنائي ,uploads/items/12.jpg
